case,base_mae,hybrid_mae,mae_improve_pct,base_rmse,hybrid_rmse,rmse_improve_pct,base_iou,hybrid_iou,iou_improve_pct,base_f1,hybrid_f1,f1_improve_pct,base_boundary_f1,hybrid_boundary_f1,boundary_f1_improve_pct,mean_uncertainty,max_uncertainty,corr_abs_error_uncertainty,high_uncertainty_mae,low_uncertainty_mae,high_low_error_ratio
case_000001,0.0038241283036768436,0.004115828312933445,-7.627882385016633,0.006330906879156828,0.006692439317703247,-5.710594792298845,0.9421723529528379,0.944097072961038,0.20428534144181615,0.9702252753422,0.9712447861701593,0.10507980505864217,0.22307724291009806,0.1664461377013277,-25.386321110124687,0.0004044444940518588,0.005116866435855627,0.3579892849338161,0.0077090938575565815,0.0005295236478559673,14.558544975681508
case_000002,0.002477886388078332,0.0010149067966267467,59.04143137838397,0.003295624628663063,0.001926781958900392,41.53515111695138,0.3328215938774575,0.8401166558651977,152.42252044935597,0.49942407206835493,0.9131123868559152,82.83307472030299,0.036805486692602696,0.16201393786533105,340.18963590527176,0.00011097526294179261,0.0036054363008588552,0.4284651266043299,0.002991366432979703,0.0006967576337046921,4.29326681758936
case_000003,0.0036635957658290863,0.002877520862966776,21.45637655207898,0.006677280180156231,0.006791020277887583,-1.7033896236579762,0.5393493505000575,0.8347697522628106,54.77347872744339,0.7007497684977746,0.9099449685534591,29.853053038339866,0.16635889533989873,0.18854831184420484,13.338280744753364,0.00019603740656748414,0.0033027944155037403,0.33891231184783677,0.0057766251266002655,0.0005879689706489444,9.824710835335177
case_000004,0.0026397421024739742,0.002172477077692747,17.70116195606021,0.00335619761608541,0.003690546378493309,-9.962129786561121,0.7370191439407622,0.9101461614871577,23.490165617775396,0.848602212027085,0.9529597052181148,12.29757496645543,0.08387877793052506,0.18979415471536518,126.2719598425331,0.0002595246769487858,0.004341050051152706,0.6151967021105194,0.006989861372858286,0.0005110181518830359,13.678303468131702
case_000005,0.002858959138393402,0.0026449598371982574,7.485217200949644,0.004463352728635073,0.004754499066621065,-6.523041213348764,0.7645673458586928,0.8872128684984666,16.041166720510336,0.8665776884663258,0.9402361369063412,8.499924406128736,0.14424051409321242,0.27122121153473966,88.03400226337837,0.00023624964524060488,0.0015312713803723454,0.690301799419052,0.00928615964949131,0.0004708982596639544,19.720097577761415
case_000006,0.00578285101801157,0.004947061184793711,14.452902739750073,0.009365357458591461,0.008813964203000069,5.887583661695294,0.9982757568359375,0.998260498046875,-0.0015285144368188557,0.9991371345230187,0.9991294918981658,-0.0007649225105134922,0.0,0.0,0.0,0.00039536040276288986,0.006250208243727684,-0.13874420454642852,0.0019292739452794194,0.0017967334715649486,1.0737674645339919
case_000007,0.005371776409447193,0.0051663899794220924,3.8234359431619924,0.009051480330526829,0.009229135699570179,-1.9627217046939112,0.99908447265625,0.99908447265625,0.0,0.9995420266845785,0.9995420266845785,0.0,0.0,0.0,0.0,0.00047159980749711394,0.011514457874000072,-0.07388088782806047,0.0018191509880125523,0.0013543942477554083,1.3431473071332238
case_000008,0.0042688059620559216,0.0030628545209765434,28.250322263384714,0.005846111569553614,0.005003118421882391,14.419723907793816,0.855853073681151,0.9167943818262945,7.120533888255588,0.9223284815144722,0.9565912656242093,3.7148136262123472,0.3100681312090873,0.2511509360216425,-19.001370749616108,0.0003401761350687593,0.0025843377225100994,0.514708697367074,0.00818132609128952,0.0011758588952943683,6.957744774540857
case_000009,0.00540374219417572,0.005192023701965809,3.9179976505560625,0.009064264595508575,0.009233560413122177,-1.8677281077770975,0.99908447265625,0.99908447265625,0.0,0.9995420266845785,0.9995420266845785,0.0,0.0,0.0,0.0,0.0003929625963792205,0.011480552144348621,-0.08331006695915448,0.0018614711007103324,0.0012724371626973152,1.4629178978877542
case_000010,0.006086174864321947,0.005174167919903994,14.984895517285782,0.00954822450876236,0.009090375155210495,4.795125555873749,0.8973596010790484,0.9267414462549365,3.2742553977867113,0.9459035604728915,0.96197800494329,1.6993745601678802,0.30967306577615517,0.2372118527311713,-23.399262336028254,0.00042830297024920583,0.005939803551882505,0.0636808285479709,0.005451322998851538,0.0016358199063688517,3.332471364540223
